location,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653
variable,Temperature,Relative Humidity,Mean Sea Level Pressure
unit,°C,%,hPa
level,2 m elevation corrected,2 m,MSL
resolution,hourly,hourly,hourly
aggregation,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Relative Humidity [2 m],Basel Mean Sea Level Pressure [MSL]
20240113T1100,-3.9197545,86.49453,1029.2
20240113T1200,-2.9497547,83.31285,1027.8
20240113T1300,-2.4497547,83.071556,1026.7
20240113T1400,-2.0897546,80.387764,1025.7
20240113T1500,-1.8897547,79.38657,1025.1
20240113T1600,-1.9797546,81.57829,1024.8
20240113T1700,-3.769755,87.9858,1024.3
20240113T1800,-4.709755,91.603096,1024.1
20240113T1900,-4.709755,91.603096,1023.8
20240113T2000,-4.749755,91.037415,1023.3
20240113T2100,-4.869755,90.18758,1022.6
20240113T2200,-4.8997545,88.66583,1023.3
20240113T2300,-5.1497545,88.77352,1022.9
20240114T0000,-5.269755,88.621864,1022.0
20240114T0100,-5.619755,89.34037,1021.0
20240114T0200,-6.099755,89.77367,1020.3
20240114T0300,-6.349755,88.83815,1019.9
20240114T0400,-6.499755,89.308235,1019.1
20240114T0500,-6.459755,87.925064,1018.6
20240114T0600,-6.6597548,87.41776,1018.4
20240114T0700,-6.6297545,86.73746,1018.1
20240114T0800,-6.079755,83.408844,1017.6
20240114T0900,-4.829755,82.37732,1016.9
20240114T1000,-5.209755,86.85971,1018.0
20240114T1100,-2.8397546,77.707695,1016.9
20240114T1200,-1.1997546,70.04216,1015.1
20240114T1300,-0.8097546,70.88783,1013.7
20240114T1400,0.1202454,69.17516,1012.5
20240114T1500,-0.9197546,81.01195,1011.7
20240114T1600,-1.7597545,81.05778,1011.1
20240114T1700,-1.1197546,77.496346,1010.5
20240114T1800,-0.75975454,76.97783,1010.6
20240114T1900,-0.48975456,84.81446,1010.9
20240114T2000,-0.6797546,87.23329,1011.0
20240114T2100,-0.3097546,86.30788,1010.9
20240114T2200,-0.51975465,89.55692,1011.2
20240114T2300,-0.49975455,89.02767,1011.1
20240115T0000,-1.0097545,89.907646,1010.7
20240115T0100,-1.0997546,89.36266,1010.7
20240115T0200,-1.0197546,86.28188,1010.4
20240115T0300,-1.1397547,85.87866,1010.5
20240115T0400,-0.61975455,84.037476,1010.3
20240115T0500,-0.62975454,84.28842,1010.2
20240115T0600,-0.4297546,83.938866,1010.0
20240115T0700,-1.0897546,83.7174,1009.7
20240115T0800,-1.0097545,83.28908,1009.7
20240115T0900,-0.34975457,82.57865,1009.4
20240115T1000,1.5202454,75.01767,1009.3
20240115T1100,2.0202456,72.10111,1008.8
20240115T1200,2.1202455,71.7467,1008.2
20240115T1300,2.0402455,73.07982,1008.4
20240115T1400,1.9802454,74.82919,1008.8
20240115T1500,1.7302454,76.923965,1009.6
20240115T1600,1.5102453,78.85028,1010.3
20240115T1700,1.1102455,80.497955,1011.2
20240115T1800,0.5902454,78.27861,1012.0
20240115T1900,-0.46975458,78.976425,1012.9
20240115T2000,-0.8497546,80.59661,1013.6
20240115T2100,-2.4797544,81.37231,1013.9
20240115T2200,-1.6297547,80.71067,1014.3
20240115T2300,-2.8997545,83.96001,1014.6
20240116T0000,-3.7797546,85.0633,1014.5
20240116T0100,-4.2797546,85.58444,1014.8
20240116T0200,-5.209755,87.062256,1014.8
20240116T0300,-5.8997545,89.865974,1014.8
20240116T0400,-6.3197546,91.089485,1014.6
20240116T0500,-6.6297545,90.4895,1014.2
20240116T0600,-6.9097548,90.88572,1013.6
20240116T0700,-6.6697545,89.638916,1013.6
20240116T0800,-5.789755,87.94078,1013.7
