### 
### Experiment date : 2025-07-02 14:41:31 
### Parameters of the wind tunnel system 
### 

mode : 1
max_time : 1800
is_save_data : True
path_save_data : experiments\exp_2025-07-02_14-24-48
is_density_link_temperature : False
alpha : 0.1
beta : 0.02
sampling_rate : 1000
sampling_batch : 400
k_pitot : 86.207
offset_pitot : 0
offset_T : -0.146
k_T : 100
k_atm : 5200
offset_atm : 80000
factor_conv : 1
P : 0.12
I : 0.015
D : 0.075
conv_factor : 0.05

### 
### Data 
### 

t [s], v [m/s], v_target [m/s], T [K], Pressure_pitot [Pa], P_amb [Pa], Control_signal [V]
257.48182702064514, 5.089334975428429, 5.0, 298, 15.430904419543586, 101905.46248482785, 1.639352903895447
257.89458990097046, 5.180176131294321, 5.0, 298, 15.986682901667622, 101905.46248482785, 1.6380075936616385
258.31734561920166, 5.184757216414502, 5.0, 298, 16.014971028003274, 101905.46248482785, 1.6350492542398465
258.74069476127625, 5.111103762452929, 5.0, 298, 15.563193010348558, 101905.46248482785, 1.6323267500439187
259.1691439151764, 4.948631593958527, 5.0, 298, 14.589471328343823, 101905.46248482785, 1.6322015707735975
259.591992855072, 5.019847278672996, 5.0, 298, 15.01240655051905, 101905.46248482785, 1.6355749862002067
260.00083661079407, 4.897523022046634, 5.0, 298, 14.289672656100269, 101905.46248482785, 1.6364179612374223
260.4126150608063, 5.133415049882967, 5.0, 298, 15.699364285160383, 101905.46248482785, 1.6382959198891864
260.8244106769562, 5.089838029759893, 5.0, 298, 15.433955099834685, 101905.46248482785, 1.6356136792035247
261.2385718822479, 4.62261833294842, 5.0, 298, 12.730497692776252, 101905.46248482785, 1.6329223489397022
261.65435338020325, 4.909058174755685, 5.0, 298, 14.357064957076386, 101905.46248482785, 1.6427363010252178
262.06534218788147, 5.055055881727728, 5.0, 298, 15.223735494320703, 101905.46248482785, 1.645202254069245
262.47510528564453, 5.133415049882967, 5.0, 298, 15.699364285160383, 101905.46248482785, 1.639974368570769
262.89024448394775, 4.98088643995315, 5.0, 298, 14.780277513823531, 101905.46248482785, 1.6362082308215138
263.30835938453674, 5.113425758874956, 5.0, 298, 15.577337073516384, 101905.46248482785, 1.6373923528844185
263.72997307777405, 5.007730723570243, 5.0, 298, 14.940022227248402, 101905.46248482785, 1.6363349273214172
264.15033984184265, 4.972514690403787, 5.0, 298, 14.730634625450177, 101905.46248482785, 1.6361791689016176
264.6321141719818, 5.111468066939222, 5.0, 298, 15.565411686923904, 101905.46248482785, 1.6380285484792456
265.05111837387085, 4.918626476446716, 5.0, 298, 14.413086540603858, 101905.46248482785, 1.6357236607193246
265.4723913669586, 5.067243011065374, 5.0, 298, 15.297229155879021, 101905.46248482785, 1.6374210038025714
265.8930313587189, 5.092718201837191, 5.0, 298, 15.45142717786553, 101905.46248482785, 1.6370795673853697
266.3167634010315, 5.2016542524342695, 5.0, 298, 16.119526161616427, 101905.46248482785, 1.6343867403473982
266.73524713516235, 5.103036872424842, 5.0, 298, 15.51410479111904, 101905.46248482785, 1.630936224604909
267.14268255233765, 5.073073257657115, 5.0, 298, 15.332450646512632, 101905.46248482785, 1.6300767836487837
267.56418204307556, 5.028973391496607, 5.0, 298, 15.067041461186932, 101905.46248482785, 1.6309021115613413
267.98618483543396, 4.935397109591683, 5.0, 298, 14.511540313634814, 101905.46248482785, 1.6316359645117673
268.40567803382874, 4.926664607150975, 5.0, 298, 14.460233417829949, 101905.46248482785, 1.6340220458508312
268.8154752254486, 5.045331116076212, 5.0, 298, 15.165217899645969, 101905.46248482785, 1.6359869001523613
269.2359356880188, 5.071054088576839, 5.0, 298, 15.320247925348232, 101905.46248482785, 1.6343647712747662
269.6432399749756, 5.119476206847239, 5.0, 298, 15.614222571581504, 101905.46248482785, 1.6322403867252038
270.06430649757385, 4.8911980240558375, 5.0, 298, 14.252787158035149, 101905.46248482785, 1.6303434263004186
